STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/9/1990,0,0,0,63,30
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/10/1990,0,0,0,36,20
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/11/1990,0,0,0,40,11
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/12/1990,0,0,0,53,20
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/13/1990,0,0,0,55,26
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/14/1990,0,0,0,58,20
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/15/1990,0,0,0,62,30
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/16/1990,0,0,0,60,28
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/17/1990,0,0,0,57,22
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/18/1990,0,0,0,71,32
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/19/1990,0.04,0,0,73,44
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/20/1990,0,0,0,77,46
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/21/1990,0,0,0,83,49
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/22/1990,0,0,0,83,54
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/23/1990,0,0,0,82,51
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/24/1990,0.29,0,0,78,50
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/25/1990,0.17,0,0,60,51
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/26/1990,0.12,0,0,62,40
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/27/1990,0.87,4,,56,26
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/28/1990,0,0,,30,22
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/29/1990,0.27,3,,36,24
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,4/30/1990,0,0,,36,24
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/1/1990,0,0,0,55,26
USC00390701,"BISON, SD US",45.5286,-102.465,847.3,5/2/1990,0,0,0,65,35
